Name,Date,Rating,Review
nitorita,"Mar 29, 2023",8,"A luxurious and high-caliber platform game that has no competition except for other Mario games. The game is already luxurious since the Wii U. However, there are impressive improvements such as team play, improving the walking shape of the characters (animation ), adding cooperative play in the missions of captain toad, and the most importantly wonderful addition, which is the two facts of the game Mario is completely independent. It is the addition of the Bowser's Fury game to the very huge world of cats, all of which confirms that it is a good bargain Sorry for my language"
ResetButton,"Nov 25, 2022",9,"I, like many others, didn't like 3d World when it first came out, but in retrospect, this game is great! It's rather linear and restrictive when compared to the more open ended nature of the previous games, but that's not really a bad thing, because the game is filled to the brim with creative ideas and it's linearity allows it to channel it in a focused manner. Maybe it isn't as great as some of its predecessors,  but it's never bad either. It's a consistent flow of inspired and creative platforming through a series of linear obstacle courses, and is almost 100% perfect in this regard. If you didn't like this game at first, I'd encourage you to play Mario Odyssey first, and play this one after that.  It helped me appreciate the game much more, and maybe it'll help you do the same."
eyalem123,"Mar 26, 2022",8,"I didn't had a wii U so I had never experienced Super Mario 3D World, but it's defenitly a must buy for Mario games fans. It's a hole new experience of the old 2D Mario formula with a new possibilities, worlds and mechanics. This game is even better in multiplayer, much funnier and gets really competitive since players can try to beat your highscore going all the way together.  For me, is a 9 out of 10. Maybe for someone that already played this on wii U it might be not all that fun but for newcomers like me, I recomend this 100%."
Audiostoned,"Apr 11, 2023",9,"This is a great bundle from Nintendo. Not only do you get Super Mario 3D World re-released on the switch, which is a great new take on the old formula, but you get the new edition of Bowser's Fury. While Bowser's Fury is a short game (about 2-3 to beat and 4-6 to 100%) it is an instant classic. The edition of the ""day and night cycle"" that has Bowser being dormant during the day and him becoming a giant monster at night creates a wonderful dynamic that keeps you on your toes. The game plays completely different in each cycle, and the giant boss battles are quite fun. One of my favorite things about this bundle is the multiplayer. You can play with up to four people, which adds extra enjoyment in 100% the game, trying to beat each others scores, or just playing the base game. Bowser's Fury also has up to four players which is very nice, but the best part is the two player local play. The second player gets to play as Bowser Jr which is a great improvement upon Cappy. I found that Bowser Jr was vital to the game, and it made it that much better when someone was playing with me. There are only two flaws in this bundle. The first is how short Bowser's Fury is, and the second is one of the games is already released. But both of these are tiny issues. Bowser's Fury is re-playable and worth it just for the first playthrough, and the whole point was the re-release of Super Mario 3D World on the switch so I'm just glad they included a new title with it. 3D Mario World + Bowser's Fury is a great bundle that I will come back to time and time again. Thank you Nintendo for another classic installment."
BlueNightDev,"Feb 17, 2021",9,"This is an Amazing game! I absolutely love each level, they are filled with unique ideas and charm. I have never owned a Wii U so I am extremely happy to be able to experience this game. Bowser’s fury is quite great as a bonus game, but to me personally Super Mario 3D World is the best out of both. I preferred the stars from this one than odyssey’s moons because I actually felt as if they were attainable as their isn’t as much than the insane amount of moons in Odyssey. ( But that is just me ) also find this game much more appealing because of all the amazing playable characters that you can be- instead of just Mario. The multiplayer experience is awesome but it can sometimes get quite chaotic especially in the cake level with the red and blue switch blocks;). I love this game, you should try it and see all the amazing content that this game has to offer, the multiplayer but single player experience are phenomenal and fleshed out to give you hours of entertainment. A must buy and my favourite video game, I love Super Mario!"
SuperkenGaming,"Feb 18, 2021",9,"Super Mario 3D World et Bowser's Fury sont un excellent mélange. Avec d'un côté un portage excellent, améliorant un platformer déjà excellent sur de nombreux points. Et de l'autre une vraie aventure originale rafraîchissement et à la proposition d’un gameplay étonnant. Cette réédition d'un des meilleurs opus de la saga s'affirme comme un véritable indispensable sur Nintendo Switch. Si tous les portages Wii U ne se valent pas et que beaucoup ne justifient pas forcément de nouvel investissement à prix fort, Super Mario 3D World avec Bowser's Fury est l’un des meilleurs jeux de la machine à ce jour. Et qui sait, en fonction de la réception de Bowser's Fury, Nintendo y verra peut-être l'occasion de proposer à l'avenir une expérience complète et 100% inédite. Plus de détail >> https://www.geekexperience.fr/jeux-video/avis/avis-super-mario-3d-world--bowsers-fury"
anyu,"Feb 14, 2021",9,"A great port of Super Mario 3D World! The characters and visuals move more quicker, a lot of new features and new mechanics that haven't been seen in the Original Wii U release. Also, the fact that this is the 5th 3D Mario game (3 if you count 3D All Stars as one game) to be on the Switch is also incredible. Bowser's Fury is a great mode too! It even feels like that it could be it's own separate game."
JordiMesen,"Feb 14, 2021",9,"If you haven't played it 3d world is like a big expansion for 3d land that takes everything good from the 3ds game and amplifies it. There is a ridiculous amount of content in 3d world, I'm pretty sure it has the most levels in a Mario game to date but what is more amazing is that no level feels the same, each one has a unique gimmick or theme and the game keeps this up until the end. There's also 4 player co op which can be played online or local, one fun thing about co op that the highest scoring player gets a crown and the other players can try and steal it by knocking it off, its just dumb fun. The music in general is fantastic. Nintendo always does a great job of remixing their classic tunes and 3d world is no exception, I particularly like the jazz rendition of the main theme and bowsers castle theme(go listen to them). 3d world is simply joy to play, sure it might not have the highly technical move sets of 64 or sunshine but that isn't necessarily a bad thing considering how easy it is to pick up and enjoy. It doesn't have the highpoints of Nintendo's greatest but its solid, all good from start to finish."
GIMI3,"Feb 14, 2021",9,"This is THE best Mario game I have played in a long time. I never got the opportunity to play it on the Wii U but always wanted to. Now, here it is 8 years later, with better resolution and a solid 60 fps. 3D World alone was worth the purchase, but the inclusion of Bowsers Fury made it even better. They could have just thrown the original game and I would have been happy! Bowsers Fury is massive and gorgeous, the music is amazing, and the feeling of being chased by Giga Bowser is exhilarating. They revamped movement speeds too! So the characters never feel sluggish. If you love Mario games and havent played this, go get it!! (PS, to the person who has only played the Wii U version and gave this a 6, you need to take yourself elsewhere unless you actually play THIS version. They are not the same and your review is invalid.)"
MarioKartfans,"Feb 14, 2021",8,"Super Mario 3D World on its own is an amazing game. With great level design and a wealth of new ideas and fun gimmicks in every level. With so many levels you would think they would repeat ideas but they don’t. Then after you beat the main game their are challenge worlds that are even more fun to beat. On top of all of this, they added one of the coolest things to come from a Mario Game since the Dragon Kingdom in Odyssey. In Bowsers Fury it’s a fun and new open world Mario experience with great challenge and fun. It’s a long experience too, it will take you 5 to 6 hours to fully complete it. I highly recommend this game to anyone who enjoys a good 3D platformer."
